Epoch [1/10], Loss: 1.1384
Val Loss: 1.1535, Val Accuracy: 52.13%

Epoch [2/10], Loss: 0.9643
Val Loss: 0.9379, Val Accuracy: 53.19%

Epoch [3/10], Loss: 0.8032
Val Loss: 0.6386, Val Accuracy: 75.53%

Epoch [4/10], Loss: 0.6338
Val Loss: 0.5257, Val Accuracy: 81.91%

Epoch [5/10], Loss: 0.6115
Val Loss: 0.4280, Val Accuracy: 82.98%

Epoch [6/10], Loss: 0.5049
Val Loss: 0.4105, Val Accuracy: 82.98%

Epoch [7/10], Loss: 0.3448
Val Loss: 0.2993, Val Accuracy: 91.49%

Epoch [8/10], Loss: 0.4864
Val Loss: 0.2756, Val Accuracy: 92.55%

Epoch [9/10], Loss: 0.2194
Val Loss: 0.2017, Val Accuracy: 94.68%

Epoch [10/10], Loss: 0.1322
Val Loss: 0.1578, Val Accuracy: 93.62%

Test Loss: 0.2223, Test Accuracy: 92.38%

