Epoch [1/12], Loss: 1.2897
Val Loss: 0.9925, Val Accuracy: 53.19%

Epoch [2/12], Loss: 0.4853
Val Loss: 1.0358, Val Accuracy: 47.87%

Epoch [3/12], Loss: 0.7873
Val Loss: 0.6234, Val Accuracy: 76.60%

Epoch [4/12], Loss: 0.7525
Val Loss: 0.4776, Val Accuracy: 87.23%

Epoch [5/12], Loss: 0.3835
Val Loss: 0.3372, Val Accuracy: 82.98%

Epoch [6/12], Loss: 0.3317
Val Loss: 0.2853, Val Accuracy: 93.62%

Epoch [7/12], Loss: 0.3699
Val Loss: 0.2262, Val Accuracy: 94.68%

Epoch [8/12], Loss: 0.5517
Val Loss: 0.1561, Val Accuracy: 96.81%

Epoch [9/12], Loss: 0.2549
Val Loss: 0.1443, Val Accuracy: 95.74%

Epoch [10/12], Loss: 0.2872
Val Loss: 0.1193, Val Accuracy: 95.74%


Test Loss: 0.1440, Test Accuracy: 95.24% 

